update,steps,train_mean_reward,train_loss,train_success_rate,eval_mean_reward,eval_success_rate
1,4096,-0.12606655160993407,39.595716059207916,0.0,nan,nan
2,8192,-0.06478813542243068,341.05620166659355,1.0,-122.25852698009248,0.2
3,12288,-0.10151161618590948,21.38737055659294,1.0,-47.47688173369801,0.4
4,16384,-0.06543169133012577,267.4694521725178,1.0,-16.80005424258143,0.5
5,20480,-0.05355325067806269,204.24121016263962,1.0,-16.62237211254158,0.5
6,24576,-0.07444842970544588,226.14716270565987,1.0,-16.62237211254158,0.5
7,28672,-0.040960901005607724,290.09297344088554,1.0,36.24718749025216,0.7
8,32768,-0.037903343343344206,288.35958421230316,1.0,98.79457050443646,1.0
9,36864,0.14755938567057814,1362.9215822219849,1.0,61.14013162415476,0.9
10,40960,0.020190908155536924,643.4895284175873,1.0,31.124763256334482,0.8
11,45056,-0.043975574519880656,363.347734361887,1.0,60.2624529154896,0.9
12,49152,0.042319058338262515,714.391286611557,1.0,60.2624529154896,0.9
13,53248,-0.07738425280532658,174.26736626029015,1.0,80.0014917329523,1.0
14,57344,0.12286559065933574,1148.4267094135284,1.0,54.03391127137716,0.9
15,61440,0.07768502617832046,696.4363124370575,1.0,67.19653494211423,0.9
16,65536,0.10709325331180619,1040.5501370429993,1.0,78.57347961937079,1.0
17,69632,0.08177720037744522,737.0676968097687,1.0,78.57347961937079,1.0
18,73728,-0.007011513302136955,263.22449493408203,1.0,90.2852341724327,0.9
19,77824,-0.020678759858051343,361.93988966941833,1.0,89.14993709027344,1.0
20,81920,0.07536996689385957,860.5705006122589,1.0,107.26518283695547,1.0
21,86016,0.11297902087756304,1071.1240944862366,1.0,72.84432738601666,1.0
22,90112,0.11577614607529527,979.8112096786499,1.0,96.53466700728745,1.0
23,94208,-0.0020494243094098166,393.5768321752548,1.0,96.53466700728745,1.0
24,98304,0.10583827331480647,766.7693672180176,1.0,105.04926191657032,1.0
25,102400,0.08751647331443095,844.9951095581055,1.0,90.47802213843846,1.0
26,106496,0.1769898387986859,1021.1309642791748,1.0,113.91853527208919,1.0
27,110592,0.3063866228833583,1775.1198263168335,1.0,125.70366280024916,1.0
28,114688,0.2223047529288413,1224.8036012649536,1.0,125.70366280024916,1.0
29,118784,0.10647611726282566,664.755872964859,1.0,134.05796534397865,1.0
