nohup: ignoring input
/root/miniconda3/lib/python3.12/site-packages/gymnasium/spaces/box.py:236: UserWarning: [33mWARN: Box low's precision lowered by casting to float32, current low.dtype=float64[0m
  gym.logger.warn(
/root/miniconda3/lib/python3.12/site-packages/gymnasium/spaces/box.py:306: UserWarning: [33mWARN: Box high's precision lowered by casting to float32, current high.dtype=float64[0m
  gym.logger.warn(
Device: cuda
Loaded V4 NN: obs_dim=8, act_dim=3, hidden=(64, 64)
High-level: obs_dim=13, act_dim=2
[  500] CAUGHT | Steps=  55 | Reward= 214.04 | Rate= 53.0% | AvgR= 118.30 | LR=9.77e-05
[  510] MISSED | Steps=   4 | Reward= -24.12 | Rate= 49.0% | AvgR= 109.24 | LR=9.76e-05
[  520] MISSED | Steps=  19 | Reward=   9.24 | Rate= 50.0% | AvgR= 111.20 | LR=9.75e-05
[  530] CAUGHT | Steps=  80 | Reward= 191.37 | Rate= 52.0% | AvgR= 115.02 | LR=9.74e-05
[  540] CAUGHT | Steps=  54 | Reward= 246.58 | Rate= 51.0% | AvgR= 112.05 | LR=9.73e-05
[  550] CAUGHT | Steps=  35 | Reward= 200.07 | Rate= 52.0% | AvgR= 113.27 | LR=9.72e-05
[  560] MISSED | Steps=  69 | Reward=  28.82 | Rate= 56.0% | AvgR= 121.68 | LR=9.71e-05
[  570] CAUGHT | Steps=  93 | Reward= 193.39 | Rate= 54.0% | AvgR= 118.56 | LR=9.70e-05
[  580] CAUGHT | Steps=  36 | Reward= 236.15 | Rate= 54.0% | AvgR= 117.70 | LR=9.69e-05
[  590] MISSED | Steps=   3 | Reward= -22.43 | Rate= 56.0% | AvgR= 122.68 | LR=9.68e-05
[  600] CAUGHT | Steps=  77 | Reward= 204.33 | Rate= 54.0% | AvgR= 116.73 | LR=9.67e-05
[  610] CAUGHT | Steps=  36 | Reward= 242.84 | Rate= 56.0% | AvgR= 120.96 | LR=9.66e-05
[  620] MISSED | Steps=  50 | Reward=   6.83 | Rate= 52.0% | AvgR= 110.99 | LR=9.65e-05
