Episode,Captured,Steps,Reward,CaptureRate,LR
154,0,4,-29.98,53.0,9.98e-05
155,1,63,222.08,53.0,9.98e-05
156,1,51,242.22,53.0,9.98e-05
157,1,54,241.01,54.0,9.98e-05
158,0,8,-14.12,54.0,9.98e-05
159,0,11,-15.61,53.0,9.98e-05
160,0,11,-31.53,52.0,9.98e-05
161,0,31,11.32,51.0,9.98e-05
162,0,2,-24.79,50.0,9.98e-05
163,0,4,-33.50,50.0,9.98e-05
164,1,31,218.06,50.0,9.98e-05
165,1,61,225.42,51.0,9.97e-05
166,1,27,211.19,51.0,9.97e-05
167,1,54,222.19,51.0,9.97e-05
168,1,26,223.38,51.0,9.97e-05
169,1,45,211.09,51.0,9.97e-05
170,0,9,-5.55,50.0,9.97e-05
171,0,7,-22.84,49.0,9.97e-05
172,1,26,233.89,49.0,9.97e-05
173,1,34,211.36,49.0,9.97e-05
174,1,59,216.82,49.0,9.97e-05
175,0,10,-11.41,48.0,9.97e-05
176,0,22,3.70,47.0,9.97e-05
177,1,67,206.64,48.0,9.97e-05
178,1,50,238.75,49.0,9.97e-05
179,0,9,-32.77,48.0,9.97e-05
180,1,26,227.98,48.0,9.97e-05
181,1,36,225.31,49.0,9.97e-05
182,0,4,-28.68,49.0,9.97e-05
183,1,52,232.72,49.0,9.97e-05
184,0,21,-1.27,49.0,9.97e-05
185,1,52,228.53,49.0,9.97e-05
186,1,33,220.84,49.0,9.97e-05
187,0,5,-18.40,49.0,9.97e-05
188,0,2,-27.41,49.0,9.97e-05
189,1,29,237.03,50.0,9.97e-05
190,0,18,19.26,49.0,9.97e-05
192,1,36,228.52,49.0,9.97e-05
193,1,49,179.39,50.0,9.97e-05
194,1,23,203.21,50.0,9.97e-05
195,1,76,192.15,51.0,9.96e-05
196,1,25,252.42,51.0,9.96e-05
197,0,5,-20.63,51.0,9.96e-05
198,1,34,246.77,51.0,9.96e-05
199,1,34,244.62,52.0,9.96e-05
200,1,84,215.61,53.0,9.96e-05
201,0,15,24.17,52.0,9.96e-05
202,0,6,-33.01,52.0,9.96e-05
203,0,16,24.45,52.0,9.96e-05
204,0,31,57.84,51.0,9.96e-05
205,1,39,222.79,51.0,9.96e-05
206,0,21,49.54,50.0,9.96e-05
207,1,90,142.28,50.0,9.96e-05
208,0,22,46.81,49.0,9.96e-05
209,1,63,175.22,50.0,9.96e-05
210,0,10,-22.40,49.0,9.96e-05
211,0,10,6.40,48.0,9.96e-05
212,1,69,190.07,48.0,9.96e-05
213,1,62,210.31,49.0,9.96e-05
214,1,76,147.83,49.0,9.96e-05
215,1,41,189.95,49.0,9.96e-05
216,1,17,227.21,50.0,9.96e-05
217,0,7,-6.92,50.0,9.96e-05
218,1,88,165.00,50.0,9.96e-05
219,1,61,173.96,50.0,9.96e-05
220,0,6,-17.27,49.0,9.95e-05
221,1,35,239.54,49.0,9.95e-05
222,1,63,170.32,49.0,9.95e-05
223,1,72,198.87,50.0,9.95e-05
224,1,90,157.78,51.0,9.95e-05
225,0,2,-25.15,50.0,9.95e-05
226,0,4,-24.29,50.0,9.95e-05
227,0,15,-29.37,50.0,9.95e-05
228,1,48,191.73,50.0,9.95e-05
229,1,50,229.60,51.0,9.95e-05
230,1,94,192.31,52.0,9.95e-05
231,1,75,185.06,53.0,9.95e-05
232,1,93,187.62,54.0,9.95e-05
233,0,2,-31.47,54.0,9.95e-05
234,0,3,-30.90,54.0,9.95e-05
235,0,2,-28.30,53.0,9.95e-05
236,1,71,196.46,54.0,9.95e-05
237,0,14,30.39,53.0,9.95e-05
238,1,97,129.94,54.0,9.95e-05
239,1,63,174.26,55.0,9.95e-05
240,1,85,166.83,55.0,9.95e-05
241,0,30,103.34,55.0,9.95e-05
242,0,7,-5.88,55.0,9.95e-05
243,0,14,13.64,55.0,9.94e-05
244,1,37,206.85,55.0,9.94e-05
245,1,87,162.37,56.0,9.94e-05
246,1,49,219.24,56.0,9.94e-05
247,0,22,17.91,56.0,9.94e-05
248,0,9,-0.85,56.0,9.94e-05
249,1,37,225.69,57.0,9.94e-05
250,1,34,235.43,57.0,9.94e-05
251,0,7,-21.39,57.0,9.94e-05
252,0,12,-8.12,57.0,9.94e-05
253,0,2,-27.28,56.0,9.94e-05
255,0,12,24.44,55.0,9.94e-05
256,0,11,-0.94,54.0,9.94e-05
257,1,28,221.85,54.0,9.94e-05
258,0,9,-10.76,54.0,9.94e-05
259,1,60,192.19,55.0,9.94e-05
260,0,6,-28.55,55.0,9.94e-05
261,0,28,10.33,55.0,9.94e-05
262,1,43,215.76,56.0,9.94e-05
263,1,62,227.57,57.0,9.94e-05
264,0,28,28.03,56.0,9.94e-05
265,0,29,30.44,55.0,9.93e-05
266,0,21,27.23,54.0,9.93e-05
267,0,24,4.75,53.0,9.93e-05
268,1,40,244.40,53.0,9.93e-05
269,1,69,214.37,53.0,9.93e-05
270,0,58,30.81,53.0,9.93e-05
271,1,43,224.74,54.0,9.93e-05
272,0,7,-23.43,53.0,9.93e-05
273,0,3,-27.99,52.0,9.93e-05
274,0,18,-1.57,51.0,9.93e-05
275,1,53,224.43,52.0,9.93e-05
276,1,54,242.75,53.0,9.93e-05
277,0,54,56.83,52.0,9.93e-05
278,1,43,200.66,52.0,9.93e-05
280,1,59,213.61,52.0,9.93e-05
281,0,8,-11.34,51.0,9.93e-05
282,0,17,3.60,51.0,9.93e-05
283,1,64,231.35,51.0,9.93e-05
284,0,25,13.96,51.0,9.93e-05
285,1,64,234.05,51.0,9.92e-05
286,1,42,196.81,51.0,9.92e-05
287,0,2,-24.79,51.0,9.92e-05
288,1,81,171.76,52.0,9.92e-05
289,0,2,-25.79,51.0,9.92e-05
290,0,8,-20.33,51.0,9.92e-05
291,1,64,195.46,52.0,9.92e-05
292,1,35,241.85,52.0,9.92e-05
293,1,40,224.14,52.0,9.92e-05
