update,steps,train_mean_reward,train_loss,train_success_rate,eval_mean_reward,eval_success_rate
1,4096,-1.903593507352165,107.43831431865692,0.0,,
2,8192,-1.6700367560078906,114.80552792549133,0.0,-5908.82451295043,0.1
3,12288,-2.1195067803329124,90.76593571901321,0.0,-5663.124723622449,0.3
4,16384,-1.7597752393377433,98.30703341960907,0.0,-7723.1390669558705,0.0
5,20480,-1.7280642052692619,80.43206202983856,0.0,-5304.342670727343,0.2
6,24576,-1.6273507885643932,158.26801192760468,0.0,-5304.342670727343,0.2
7,28672,-2.0386896402752592,121.51869475841522,0.0,-5142.86604859109,0.0
8,32768,-1.985350132752921,63.13205951452255,0.0,-6002.364876119304,0.0
9,36864,-2.198441733747463,64.52005165815353,0.0,-5864.543634728945,0.0
10,40960,-1.69573875176968,98.70014441013336,0.0,-6519.219623411778,0.0
11,45056,-1.7825839711178366,84.57302671670914,0.0,-4981.846685175704,0.1
12,49152,-1.8166769379313958,63.62933021783829,0.0,-4981.846685175704,0.1
13,53248,-2.317994094176276,78.86252760887146,0.0,-6773.662818268381,0.0
14,57344,-1.9758376860752014,91.23836958408356,0.0,-7478.405976775481,0.0
15,61440,-1.6345445569547603,109.04759442806244,0.0,-6954.90322127517,0.0
16,65536,-1.9387765527598226,76.82707571983337,0.0,-6832.626993585829,0.0
17,69632,-1.8907048902739123,108.13814628124237,0.0,-6832.626993585829,0.0
18,73728,-2.263436485067481,81.70746666193008,0.0,-6297.071256557993,0.1
19,77824,-1.9224174584801943,114.1089494228363,0.0,-4368.955482897336,0.2
20,81920,-1.785214577186561,95.09229743480682,0.0,-8233.312036310133,0.0
21,86016,-1.6965582576630844,88.1246155500412,0.0,-6624.239971525525,0.2
22,90112,-2.2337516486294433,96.45666003227234,0.0,-8814.883820670653,0.1
23,94208,-2.2180869943972965,60.18779730796814,0.0,-8814.883820670653,0.1
24,98304,-1.7229074583494088,62.62728625535965,0.0,-7267.923372988526,0.1
25,102400,-1.9149497521968177,54.952721416950226,0.0,-6289.098104052889,0.1
26,106496,-1.8071106726491906,67.93507814407349,0.0,-6114.0685129731555,0.4
27,110592,-1.7996868645833628,93.25350606441498,0.0,-6563.395127346275,0.0
28,114688,-1.7711807368382673,95.9618991613388,0.0,-6563.395127346275,0.0
29,118784,-1.8939854165825536,83.26225191354752,0.0,-6194.08121616232,0.4
30,122880,-2.0504997114541266,91.83187866210938,0.0,-7337.676285786438,0.4
31,126976,-1.7327879014592922,62.81458580493927,0.0,-7836.417579363386,0.0
32,131072,-2.1483038848681018,51.0514110326767,0.0,-6200.6910222803035,0.3
33,135168,-1.9335952169627495,74.33701890707016,0.0,-5306.415248222735,0.5
34,139264,-1.8328541705688974,103.68099522590637,0.0,-5306.415248222735,0.5
35,143360,-1.8764314558003776,80.3538408279419,0.0,-4358.0333869066435,0.4
36,147456,-2.0662154773676327,77.92370539903641,0.0,-5407.3691743660875,0.2
37,151552,-1.9441068323633262,62.53526735305786,0.0,-8500.737400096888,0.0
38,155648,-1.4329887801396726,109.76729774475098,0.0,-5177.738173253706,0.3
39,159744,-2.0028722794297393,70.97296118736267,0.0,-5177.738173253706,0.3
40,163840,-2.2099712375756586,80.74725651741028,0.0,-5254.77308431729,0.5
41,167936,-2.284162398755849,88.70981419086456,0.0,-5767.728248712803,0.5
42,172032,-2.146517426079707,79.05860662460327,0.0,-6770.397830498603,0.3
43,176128,-1.8902516932505404,71.4398113489151,0.0,-6818.818430496753,0.4
44,180224,-2.104775254747993,72.02584338188171,0.0,-7249.930489563232,0.2
45,184320,-2.080865497186351,57.189276456832886,0.0,-7249.930489563232,0.2
46,188416,-1.7849865109892142,72.13664293289185,0.0,-5039.237508015355,0.4
47,192512,-1.6397390751386034,48.531410574913025,0.0,-7342.77588194057,0.1
48,196608,-1.749196967836374,84.02641040086746,0.0,-5810.527516676777,0.4
49,200704,-2.0650933000049765,84.17985773086548,0.0,-7371.445331462545,0.0
50,204800,-1.909460325985541,85.05982232093811,0.0,-7371.445331462545,0.0
51,208896,-2.3009769084611467,61.56206512451172,0.0,-8299.060943425142,0.1
52,212992,-1.8717340148428103,70.3066691160202,0.0,-4867.389581668897,0.2
53,217088,-1.6255912078623838,87.46683776378632,0.0,-7340.178469190134,0.0
54,221184,-1.8169312002439,92.75231122970581,0.0,-5674.587324784712,0.2
55,225280,-1.941009093423931,66.28886932134628,0.0,-4786.3936687420155,0.2
