update,steps,train_mean_reward,train_loss,train_success_rate,eval_mean_reward,eval_success_rate
1,4096,-1.9945174626170166,8953.375244140625,0.0,,
2,8192,-1.8342976706895522,7344.646949768066,0.0,-7574.016242328615,0.0
3,12288,-2.3234628784488676,11193.34748840332,0.0,-8043.377971354111,0.0
4,16384,-1.7874341375558116,6307.646446228027,0.0,-7591.232550794752,0.0
5,20480,-2.019850319866333,7072.647682189941,0.0,-8798.171757132053,0.0
6,24576,-1.877532282186149,6048.333335876465,0.0,-8798.171757132053,0.0
7,28672,-1.5579733302045051,2912.0818061828613,0.0,-8087.47205780222,0.0
8,32768,-2.0420939373100024,5475.175857543945,0.0,-8727.887025839402,0.0
9,36864,-2.044080461487779,3730.519130706787,0.0,-8367.72134122009,0.0
10,40960,-2.3170478899271374,4068.1769313812256,0.0,-8749.689424745939,0.0
11,45056,-2.1352686932985927,2812.393653869629,0.0,-7044.669966799794,0.0
12,49152,-2.2414776567690926,1954.9984126091003,0.0,-7044.669966799794,0.0
13,53248,-1.985086084653915,881.7993295192719,0.0,-6648.604046857324,0.0
14,57344,-2.202829989192587,829.3692491054535,0.0,-8664.764878833616,0.0
15,61440,-2.114611799440009,522.1087508201599,0.0,-8638.209736645125,0.0
16,65536,-1.6527713785282212,472.7097671031952,0.0,-8028.898882331016,0.0
17,69632,-2.2435037334882972,752.2017393112183,0.0,-8028.898882331016,0.0
18,73728,-1.837424457359899,218.1892079114914,0.0,-7922.62330307576,0.0
19,77824,-1.8071126780464275,392.5149908065796,0.0,-8186.358791421703,0.0
20,81920,-2.2718863076771783,377.6831223964691,0.0,-7800.367022097578,0.0
21,86016,-2.2011918924022744,396.5627267360687,0.0,-8029.9114666954365,0.0
22,90112,-2.360063673451496,429.0600416660309,0.0,-7472.779829701653,0.0
23,94208,-1.7002544243886044,153.79594230651855,0.0,-7472.779829701653,0.0
24,98304,-1.9318183840002061,104.79685997962952,0.0,-8450.78188525686,0.0
25,102400,-1.705119722251867,123.0834333896637,0.0,-7749.672642118638,0.0
26,106496,-2.232480718026972,314.133180141449,0.0,-8345.792442140833,0.0
27,110592,-1.7349450860300264,197.3177251815796,0.0,-8268.414997028258,0.0
28,114688,-2.1277187478319397,234.41863870620728,0.0,-8268.414997028258,0.0
29,118784,-2.161459507919985,378.31371784210205,0.0,-9784.6990989558,0.0
30,122880,-2.311814116645839,134.0426242351532,0.0,-7662.983144130647,0.0
31,126976,-1.9676992369586357,221.51598620414734,0.0,-7860.276573225501,0.0
32,131072,-2.1112655131691205,162.13716316223145,0.0,-8798.555313861372,0.0
33,135168,-2.0660334832860587,163.5989284515381,0.0,-9091.457715141238,0.0
34,139264,-2.135440297663202,192.80506682395935,0.0,-9091.457715141238,0.0
35,143360,-2.4645500566822713,89.41203063726425,0.0,-8995.075095685508,0.0
36,147456,-2.084455204979864,80.3063068985939,0.0,-9197.719443396065,0.0
37,151552,-2.1424461282525855,167.89723992347717,0.0,-8649.20362058913,0.0
38,155648,-2.3038707273943535,86.80501395463943,0.0,-9332.337050255206,0.0
39,159744,-2.346026532532359,142.6489633321762,0.0,-9332.337050255206,0.0
40,163840,-2.3116600478283402,43.03556442260742,0.0,-8918.024770695974,0.0
41,167936,-1.690735019088851,139.82254886627197,0.0,-9345.855061951213,0.0
42,172032,-2.176064269545499,81.55480432510376,0.0,-8745.114771847851,0.0
43,176128,-2.299912342174404,68.0529682636261,0.0,-9221.386727047842,0.0
44,180224,-2.1896453231305655,124.44181430339813,0.0,-8205.310198246458,0.0
45,184320,-2.141682170845526,70.07375288009644,0.0,-8205.310198246458,0.0
46,188416,-2.2533372024194738,72.00720775127411,0.0,-8228.351268422724,0.0
47,192512,-2.1440399979487106,57.18522626161575,0.0,-9287.076292751226,0.0
48,196608,-2.0082002563005728,73.77299016714096,0.0,-8456.855871131598,0.0
49,200704,-2.300993071970412,82.7424504160881,0.0,-8304.596118854248,0.0
50,204800,-2.3069276024757763,53.00244081020355,0.0,-8304.596118854248,0.0
51,208896,-1.9311742738773978,97.24853348731995,0.0,-9235.211967489831,0.0
52,212992,-2.2157274910305844,54.9766491651535,0.0,-8716.23369698995,0.0
53,217088,-2.2660429671212983,160.29945480823517,0.0,-8617.852718840313,0.0
54,221184,-1.869738848629447,80.76912093162537,0.0,-7969.364212341214,0.0
55,225280,-1.9950298224882732,93.68571501970291,0.0,-8418.51575734989,0.0
56,229376,-2.19553168770451,68.26552391052246,0.0,-8418.51575734989,0.0
57,233472,-2.1953975538148325,85.21674275398254,0.0,-8074.258372132628,0.0
58,237568,-2.4421267096748673,86.92535305023193,0.0,-7812.169230215758,0.0
59,241664,-2.456067811451872,82.48697698116302,0.0,-9020.782000260751,0.0
60,245760,-2.345100332544389,90.16988956928253,0.0,-9027.559631450094,0.0
61,249856,-2.161619719279993,84.1363183259964,0.0,-9027.559631450094,0.0
62,253952,-2.0514429223904633,80.0872460603714,0.0,-9100.649866639229,0.0
63,258048,-2.038321036100662,58.68648090958595,0.0,-8228.800193411711,0.0
64,262144,-2.1502771697691374,71.5573862195015,0.0,-7641.417429493362,0.0
65,266240,-2.103685288476088,79.6659716963768,0.0,-8339.509624162607,0.0
66,270336,-1.8463789294149293,64.06340497732162,0.0,-8496.739524103366,0.0
67,274432,-2.047026487839628,52.33993172645569,0.0,-8496.739524103366,0.0
68,278528,-2.49749118871067,50.94146665930748,0.0,-9496.515988719413,0.0
69,282624,-2.1707771886517415,70.42331594228745,0.0,-8821.897307511925,0.0
70,286720,-2.4560503657422346,84.55016148090363,0.0,-9280.72382569178,0.0
71,290816,-2.1594835723155854,83.7154769897461,0.0,-8391.888829298778,0.0
72,294912,-2.311994729250635,107.84383833408356,0.0,-8391.888829298778,0.0
73,299008,-1.9305669542065953,94.64089959859848,0.0,-9035.804774863918,0.0
74,303104,-2.376924774243489,80.1333270072937,0.0,-8530.064416781028,0.0
75,307200,-2.315563115029046,42.03167903423309,0.0,-8627.547070865407,0.0
76,311296,-1.8958136828413237,92.98581212759018,0.0,-7968.5287247609685,0.0
77,315392,-2.549987834900066,37.21454030275345,0.0,-9076.374709417636,0.0
78,319488,-1.9139669400492845,99.25428557395935,0.0,-9076.374709417636,0.0
79,323584,-2.121854490635504,54.59263622760773,0.0,-9234.317175361879,0.0
80,327680,-2.1710640749653525,74.95808964967728,0.0,-9094.719623037472,0.0
81,331776,-1.9937293105500702,50.2928481400013,0.0,-7914.446460187568,0.0
82,335872,-2.0197285667330886,54.41181296110153,0.0,-8140.66790973519,0.0
83,339968,-1.924012326106629,58.476673007011414,0.0,-8140.66790973519,0.0
84,344064,-2.384704313520218,53.881669759750366,0.0,-7920.220809810695,0.0
85,348160,-2.021960131993626,59.78519695997238,0.0,-7651.484822498675,0.0
86,352256,-2.3979643521598044,57.82760727405548,0.0,-8548.08346659432,0.0
87,356352,-1.9830766071858092,62.08052581548691,0.0,-8812.72765800625,0.0
88,360448,-1.975408677363609,83.22381192445755,0.0,-7890.867824269963,0.0
89,364544,-2.0904105314846335,68.4540223479271,0.0,-7890.867824269963,0.0
90,368640,-2.355106154315297,67.77853506803513,0.0,-9045.327126757638,0.0
91,372736,-2.0420627281371657,39.87100028991699,0.0,-8515.852834477384,0.0
92,376832,-2.362398746975207,67.71446853876114,0.0,-8589.753149694765,0.0
93,380928,-2.4218597358035616,45.83888304233551,0.0,-8614.34060133072,0.0
94,385024,-1.9626008529274526,46.787201046943665,0.0,-8154.915901694896,0.0
95,389120,-2.0762229232491203,38.840355545282364,0.0,-8154.915901694896,0.0
96,393216,-2.051322190607893,50.29490453004837,0.0,-8333.145854116821,0.0
97,397312,-2.4410664654444583,54.618917644023895,0.0,-9314.90926636568,0.0
98,401408,-2.1327261105632713,37.552237421274185,0.0,-8706.6166409398,0.0
99,405504,-2.3478297151034617,40.06350576877594,0.0,-8225.656606269298,0.0
100,409600,-2.0917663749830377,33.551172494888306,0.0,-8225.656606269298,0.0
101,413696,-2.055338926167984,42.35591611266136,0.0,-9113.741998227875,0.0
102,417792,-1.9565294443407828,49.242798805236816,0.0,-9453.19077663022,0.0
103,421888,-2.305325742515848,28.762020647525787,0.0,-8588.095323837699,0.0
104,425984,-2.074507344833036,58.61760860681534,0.0,-9152.056331178761,0.0
105,430080,-2.3406217031237864,32.876385778188705,0.0,-8006.295712180321,0.0
106,434176,-2.19365029966615,43.08642116189003,0.0,-8006.295712180321,0.0
107,438272,-2.052240110296225,30.605172753334045,0.0,-7481.171373959145,0.0
108,442368,-2.1548857716555903,51.422024607658386,0.0,-8535.65235153917,0.0
109,446464,-2.376243793104779,50.92272129654884,0.0,-9075.606176951062,0.0
110,450560,-2.1096673620770887,38.2805939912796,0.0,-8675.553405733686,0.0
111,454656,-2.15662714007756,36.77093496918678,0.0,-8675.553405733686,0.0
112,458752,-2.3255830228861574,43.67575827240944,0.0,-7980.031064659811,0.0
113,462848,-2.512619415137255,48.14290425181389,0.0,-7883.820981983959,0.0
114,466944,-1.7559669234428907,74.83790397644043,0.0,-7779.922315749967,0.0
115,471040,-2.4499825089130836,43.378026723861694,0.0,-8271.532835420681,0.0
116,475136,-2.3971048244117563,42.48599576950073,0.0,-8548.642119577074,0.0
117,479232,-2.457995898557547,68.60502982139587,0.0,-8548.642119577074,0.0
118,483328,-2.048160867202534,52.590630888938904,0.0,-9248.470138181476,0.0
119,487424,-1.9492675247203084,74.85754489898682,0.0,-8970.667197585959,0.0
120,491520,-2.3838519523136785,51.77643936872482,0.0,-9022.102013388614,0.0
121,495616,-2.1465346835432753,54.096791207790375,0.0,-7929.261190147709,0.0
122,499712,-2.1716370531557123,43.48288223147392,0.0,-7929.261190147709,0.0
123,503808,-2.1167944822708344,55.83363753557205,0.0,-7992.446292062396,0.0
124,507904,-2.5651997405824867,52.864284217357635,0.0,-8737.511332101527,0.0
125,512000,-2.3099238767820562,48.70472228527069,0.0,-8314.69887388772,0.0
126,516096,-1.8091934528514326,48.7969796359539,0.0,-7956.138024946075,0.0
127,520192,-2.1190584070498515,55.907053112983704,0.0,-8330.245069701212,0.0
128,524288,-2.016101112775328,71.23009604215622,0.0,-8330.245069701212,0.0
129,528384,-1.8989865844284979,46.74786680936813,0.0,-7827.726198725193,0.0
130,532480,-1.9794633453623114,37.01609396934509,0.0,-7896.457504660966,0.0
131,536576,-2.2032110282226336,46.54121187329292,0.0,-8073.136129281667,0.0
132,540672,-2.1970523507396447,54.66826266050339,0.0,-7962.080709561114,0.0
133,544768,-1.9186736315446147,40.546594113111496,0.0,-7962.080709561114,0.0
134,548864,-2.0548644327273897,49.748554706573486,0.0,-7860.03079676331,0.0
135,552960,-1.7693296119082773,53.5627344250679,0.0,-8917.796227827446,0.0
136,557056,-2.1791778539114652,34.61164137721062,0.0,-8392.878189708741,0.0
137,561152,-2.1037863734604563,39.53472477197647,0.0,-8428.386617813887,0.0
138,565248,-2.2580157457565244,71.82545739412308,0.0,-7987.518720637503,0.0
139,569344,-2.219973731331959,46.94574761390686,0.0,-7987.518720637503,0.0
140,573440,-2.2534651278793696,65.00609755516052,0.0,-8862.987005399553,0.0
141,577536,-1.7697762423999728,51.34134918451309,0.0,-8251.596741977304,0.0
142,581632,-2.2536811231279983,55.2429256439209,0.0,-8005.910114579279,0.0
143,585728,-2.2737203099522203,50.556084752082825,0.0,-7720.448024250336,0.0
144,589824,-2.7190340369263852,35.30729502439499,0.0,-7720.448024250336,0.0
145,593920,-2.0271861734791186,52.04677593708038,0.0,-8033.757453955634,0.0
146,598016,-1.8328227911107844,47.767367124557495,0.0,-8454.928388675171,0.0
147,602112,-2.0550271476254047,38.930199563503265,0.0,-8782.853036854991,0.0
148,606208,-2.244087211416333,56.24437415599823,0.0,-8662.128228924968,0.0
149,610304,-2.0355952460741187,54.95746046304703,0.0,-7482.8828955229765,0.0
150,614400,-2.2231536440516786,50.275070548057556,0.0,-7482.8828955229765,0.0
151,618496,-2.1778032439401627,31.52949947118759,0.0,-8207.743353604259,0.0
152,622592,-2.027803930485208,37.944426625967026,0.0,-8860.163027398046,0.0
153,626688,-2.235326963853064,43.59438860416412,0.0,-8428.534589039202,0.0
154,630784,-2.317789187845199,45.1800811290741,0.0,-8245.529147516198,0.0
155,634880,-2.526723537875294,37.686847031116486,0.0,-8245.529147516198,0.0
156,638976,-1.950013676866647,46.84249687194824,0.0,-8369.927675417852,0.0
157,643072,-2.1223547304526127,32.140611946582794,0.0,-9175.193812648336,0.0
158,647168,-1.9595464569989494,44.52929764986038,0.0,-9105.249595370677,0.0
159,651264,-2.038592667778539,30.20084583759308,0.0,-8543.98063134039,0.0
160,655360,-2.2004252915802347,31.27325350046158,0.0,-8216.583400280086,0.0
161,659456,-2.3867034358964334,36.17949020862579,0.0,-8216.583400280086,0.0
162,663552,-2.1943315515409787,46.66153612732887,0.0,-8460.552117214598,0.0
163,667648,-1.8267745850266282,70.13776475191116,0.0,-8600.78245586234,0.0
164,671744,-2.1563073699290842,41.90084448456764,0.0,-8518.510904172088,0.0
165,675840,-2.2280974416063177,55.689200818538666,0.0,-8057.302550496666,0.0
166,679936,-2.312520033641806,41.577505856752396,0.0,-8057.302550496666,0.0
167,684032,-2.221965828607488,59.87624949216843,0.0,-8385.061424903717,0.0
168,688128,-1.9816495150283264,36.465084969997406,0.0,-8816.500326840003,0.0
169,692224,-2.5982149326493236,41.194395542144775,0.0,-8314.730818378452,0.0
170,696320,-2.18987789922309,32.85310697555542,0.0,-8549.125807109056,0.0
171,700416,-1.9860339016441446,43.64846834540367,0.0,-8430.500628639305,0.0
172,704512,-2.1551648984052028,42.3949109017849,0.0,-8430.500628639305,0.0
173,708608,-2.2499904279881795,29.75585839152336,0.0,-8591.903073168507,0.0
174,712704,-2.012836995692211,31.931472092866898,0.0,-8089.605201247357,0.0
175,716800,-2.1731955330028287,35.17547661066055,0.0,-7911.954515062602,0.0
176,720896,-2.080226634954709,51.5794141292572,0.0,-8523.609095073663,0.0
177,724992,-1.9691478097653083,33.89146348834038,0.0,-8523.609095073663,0.0
178,729088,-2.233285887140654,54.313427209854126,0.0,-7871.982645265898,0.0
179,733184,-2.4039620684485072,65.02326846122742,0.0,-8273.821202400595,0.0
180,737280,-2.1903411699964446,32.2843781709671,0.0,-8134.491211224832,0.0
181,741376,-2.1612890764804074,38.98050698637962,0.0,-8287.519710508368,0.0
182,745472,-2.4192292455502598,36.503290206193924,0.0,-8679.349699376962,0.0
183,749568,-2.275523018388375,40.778879433870316,0.0,-8679.349699376962,0.0
184,753664,-2.061962208850794,41.39855721592903,0.0,-8996.013872502263,0.0
185,757760,-2.3946772099845344,37.26936316490173,0.0,-7596.635856014451,0.0
